grid,positionOrder,laps_pct,driver_age,driver_championship_position,driver_championship_wins
0.16666666666666666,0.8260869565217391,0.0,0.21507714611162876,0.19230769230769232,0.0
0.41666666666666663,0.34782608695652173,1.0,0.1989230609920265,0.3076923076923077,0.0
0.16666666666666666,0.13043478260869565,1.0,0.23371647509578541,0.34615384615384615,0.0
0.625,0.4782608695652174,0.9772727272727272,0.21725173449311375,0.5000000000000001,0.0
0.6666666666666666,0.4782608695652174,1.0,0.662213938076007,0.5000000000000001,0.0
0.20833333333333331,0.17391304347826086,1.0,0.5146525836181008,0.19230769230769232,0.0
0.4583333333333333,0.5652173913043479,0.9827586206896552,0.41234337786061936,0.7307692307692308,0.0
0.041666666666666664,0.08695652173913043,1.0,0.44972558765662196,0.038461538461538464,0.15789473684210525
0.8333333333333333,0.3913043478260869,0.9014084507042254,0.14165890027958994,0.6153846153846154,0.0
0.875,0.9130434782608696,0.0,0.314590452521487,0.576923076923077,0.0
0.20833333333333331,0.26086956521739135,1.0,0.3490732111421766,0.5384615384615385,0.0
0.375,0.17391304347826086,1.0,0.4731283007145075,0.15384615384615385,0.0
0.6666666666666666,1.0,0.0163934426229508,0.4797556176866522,0.5384615384615385,0.0
0.5416666666666666,0.6956521739130435,0.4705882352941176,0.4688826757792275,0.3846153846153847,0.0
0.08333333333333333,0.043478260869565216,1.0,0.23444133788961374,0.3076923076923077,0.0
0.75,0.5652173913043479,0.9850746268656716,0.4265299782541161,0.6538461538461539,0.0
0.16666666666666666,0.26086956521739135,1.0,0.49176762969866417,0.19230769230769232,0.0
0.8333333333333333,0.8260869565217391,0.9642857142857144,0.20057989023506262,0.8461538461538463,0.0
0.625,0.6521739130434783,0.9714285714285714,0.15170342756549648,0.7307692307692308,0.0
0.125,0.043478260869565216,1.0,0.5592834213523867,0.07692307692307693,0.0
0.75,0.6086956521739131,0.9859154929577464,0.31697214455835143,0.7692307692307693,0.0
0.375,0.34782608695652173,1.0,0.23319871595733677,0.42307692307692313,0.0
0.41666666666666663,0.7391304347826086,0.1551724137931034,0.36895516205861023,0.46153846153846156,0.0
0.5416666666666666,0.5652173913043479,0.6282051282051282,0.6267992130061095,0.3076923076923077,0.0
0.625,0.6086956521739131,0.9818181818181818,0.6115770943357148,0.6538461538461539,0.0
0.25,0.34782608695652173,1.0,0.4707466086776433,0.46153846153846156,0.0
0.29166666666666663,0.043478260869565216,1.0,0.3924614269441855,0.07692307692307693,0.05263157894736842
0.6666666666666666,0.4782608695652174,0.9714285714285714,0.3711297504400952,0.6153846153846154,0.0
0.625,0.6521739130434783,0.9649122807017544,0.2916019467743606,0.576923076923077,0.0
0.75,0.3913043478260869,1.0,0.16972144558351454,0.576923076923077,0.0
0.3333333333333333,0.4347826086956522,0.9803921568627452,0.29698664181422807,0.7307692307692308,0.0
0.5833333333333333,0.8260869565217391,0.6037735849056604,0.19146732939836375,0.6923076923076924,0.0
0.20833333333333331,0.8260869565217391,0.0,0.08770839805322539,0.2307692307692308,0.0
0.8333333333333333,0.8260869565217391,0.0,0.6757792275033654,0.576923076923077,0.0
0.8333333333333333,0.6086956521739131,0.9571428571428572,0.703427565496531,0.8076923076923078,0.0
0.8333333333333333,0.5217391304347826,0.9818181818181818,0.10365537951744841,0.8461538461538463,0.0
0.8333333333333333,0.5217391304347826,0.9850746268656716,0.4854509682095889,0.42307692307692313,0.0
0.08333333333333333,0.6521739130434783,0.0149253731343283,0.40240240240240244,0.11538461538461539,0.10526315789473684
0.9166666666666666,0.4347826086956522,1.0,0.38013875944910414,0.5384615384615385,0.05263157894736842
0.20833333333333331,0.17391304347826086,1.0,0.5178626902764834,0.15384615384615385,0.0
0.29166666666666663,0.30434782608695654,1.0,0.3891477684581133,0.2692307692307693,0.0
0.6666666666666666,0.9565217391304348,0.0,0.23009216112664366,0.8461538461538463,0.0
0.625,0.4782608695652174,0.9824561403508772,0.5277001139070105,0.42307692307692313,0.0
0.20833333333333331,0.13043478260869565,1.0,0.2142487314901107,0.19230769230769232,0.0
0.625,0.6956521739130435,0.9818181818181818,0.31769700735217965,0.6538461538461539,0.0
0.25,0.26086956521739135,1.0,0.37796417106761937,0.46153846153846156,0.0
0.41666666666666663,0.4782608695652174,0.9464285714285714,0.6747437092264679,0.3076923076923077,0.0
0.4583333333333333,0.043478260869565216,1.0,0.5696386041213626,0.2307692307692308,0.0
0.4583333333333333,0.3913043478260869,1.0,0.4055089572330952,0.46153846153846156,0.0
