grid,positionOrder,points,laps,quali_position,driver_season_points,constructor_race_points,total_pit_stops
0.0,0.6666666666666666,0.0,-1.2325581395348837,-1.375,0.1875,0.0,0.0
-0.8333333333333334,-0.9166666666666666,5.0,0.32558139534883723,-2.625,3.4375,2.8,0.0
0.5,-0.8333333333333334,4.0,0.32558139534883723,-0.625,0.4375,1.6,0.0
-0.75,-0.75,3.0,0.32558139534883723,-2.5,3.1875,1.8,0.0
0.08333333333333333,-0.6666666666666666,2.5,0.32558139534883723,-1.25,2.375,1.4,0.0
-0.6666666666666666,-0.5833333333333334,2.0,0.32558139534883723,-2.375,1.5625,2.8,0.0
-0.4166666666666667,-0.5,1.5,0.32558139534883723,-2.0,3.0,1.8,0.0
-0.3333333333333333,-0.4166666666666667,1.0,0.32558139534883723,-1.875,2.8125,1.4,0.0
-0.16666666666666666,-0.3333333333333333,0.5,0.32558139534883723,-1.625,0.1875,0.2,0.0
-0.5833333333333334,-0.25,0.0,0.32558139534883723,-2.25,1.0625,0.0,0.0
0.16666666666666666,-0.16666666666666666,0.0,0.32558139534883723,-1.125,0.3125,0.0,0.0
-0.5,-0.08333333333333333,0.0,0.32558139534883723,-2.125,0.625,1.6,0.0
0.3333333333333333,0.0,0.0,0.32558139534883723,-0.875,-0.0625,0.2,0.0
-0.08333333333333333,0.08333333333333333,0.0,0.32558139534883723,-1.5,0.1875,0.0,0.0
0.4166666666666667,0.16666666666666666,0.0,0.32558139534883723,-0.75,0.3125,0.0,0.0
0.6666666666666666,0.25,0.0,0.32558139534883723,-0.375,-0.1875,0.0,0.0
0.75,0.3333333333333333,0.0,0.32558139534883723,-0.25,-0.1875,0.0,0.0
0.25,0.4166666666666667,0.0,0.3023255813953488,-1.0,0.0,0.0,0.0
0.5833333333333334,0.5,0.0,-0.06976744186046512,-0.5,0.5,0.0,0.0
-0.25,0.5833333333333334,0.0,-0.3023255813953488,-1.75,0.9375,0.0,0.0
0.0,0.6666666666666666,0.0,-0.4186046511627907,-1.375,0.125,0.0,0.0
-0.75,-0.9166666666666666,5.0,0.3953488372093023,-2.5,2.1875,2.8,0.0
-0.5,-0.8333333333333334,4.0,0.3953488372093023,-2.125,0.625,2.0,0.0
-0.4166666666666667,-0.75,3.0,0.3953488372093023,-2.0,3.375,1.2,0.0
-0.3333333333333333,-0.6666666666666666,2.5,0.3953488372093023,-1.875,0.9375,1.6,0.0
-0.8333333333333334,-0.5833333333333334,2.0,0.3953488372093023,-2.625,3.6875,2.8,0.0
-0.08333333333333333,-0.5,1.5,0.3953488372093023,-1.5,0.625,1.6,0.0
-0.16666666666666666,-0.4166666666666667,1.0,0.3953488372093023,-1.625,1.1875,2.0,0.0
-0.5833333333333334,-0.3333333333333333,0.5,0.3953488372093023,-2.25,2.875,0.2,0.0
-0.25,-0.25,0.0,0.3953488372093023,-1.75,0.9375,0.0,0.0
0.3333333333333333,-0.16666666666666666,0.0,0.3953488372093023,-0.75,2.375,0.2,0.0
0.16666666666666666,-0.08333333333333333,0.0,0.3953488372093023,-1.125,0.1875,0.0,0.0
0.08333333333333333,0.0,0.0,0.37209302325581395,-1.25,0.0,0.0,0.0
0.4166666666666667,0.08333333333333333,0.0,0.37209302325581395,-0.625,0.3125,0.0,0.0
0.25,0.16666666666666666,0.0,0.37209302325581395,-0.875,0.3125,0.0,0.0
0.5833333333333334,0.25,0.0,0.37209302325581395,-0.375,-0.1875,0.0,0.0
0.5,0.3333333333333333,0.0,0.3488372093023256,-0.5,0.5,0.0,0.0
