PC1,PC2,Cluster
4.388098318263673,-0.9655377928025152,1
3.918041166799598,-0.8282286870489677,1
3.1787009295681257,-0.5907408320260774,1
1.7241025367913223,-0.4838286522003953,0
1.0873693427543698,-0.4360967431027292,0
0.5127025992074294,-0.3569921167138034,0
0.0932019818855212,-0.199455697096728,0
-0.5768582198923045,-0.1693937801582387,0
-0.7841342312179983,-0.0227308385617598,0
-1.069994580100381,-0.0392640062242787,0
-1.0685512452334485,-0.0877937495633222,0
-1.1551996153827049,-0.0627045802992496,0
-1.3552620417447656,-0.1548402940784315,0
-1.3978645593859276,-0.1665605811159169,0
-0.483401485791191,-0.0038909532507416,0
-1.3404521106196796,-0.1335720400744986,0
-1.3783327401674952,-0.1635104476593954,0
-1.5990392089923555,-0.2734988630604989,0
0.0401458082476813,-0.0258593672883691,0
-1.1279399723604313,-0.0165686150276785,0
-1.1207857634451082,-0.2402557953674627,0
-1.2211968285695645,-0.2270684271846712,0
5.23699674224853,-1.0090317048849016,1
4.404556829282039,-0.8186029257989009,1
2.40488158333637,-0.5683700175996196,0
1.7532242766231063,-0.4697953214827212,0
1.4348279915804756,-0.4383736294159498,0
1.0593732267666616,-0.3176466661004326,0
-0.0018091792627199,-0.2481678009615734,0
-0.0329017805560363,-0.2487426845713268,0
-1.244242342091619,-0.1370176241206113,0
-0.9765126072827174,0.0081256752982021,0
-1.0191151249238797,-0.0035946117392833,0
-0.6632936850987886,0.067929775076414,0
-0.668769806363909,-0.102930984730591,0
-1.1488341632605876,-0.0404085007796955,0
-1.1914366809017496,-0.052128787817181,0
-1.3892053247679437,-0.1422808680828159,0
-1.4318078424091056,-0.1540011551203014,0
-1.3192442338252357,-0.0872896489296374,0
-1.4974485649257565,-0.1716735381173767,0
-1.4484134336116703,-0.1487498653475896,0
-1.1253642726987425,-0.0003701367526618,0
-1.3518051977632697,-0.1153176359376324,0
4.600322924259887,-0.976411270823112,1
3.3124005740559612,-0.779921894341548,1
1.80223767641816,-0.8139150169193996,0
1.196537707626214,-0.7504967491761037,0
1.2425354689794017,-0.3576649498745797,0
0.5127025992074294,-0.3569921167138034,0
1.340524363336631,-0.1597049353259313,0
-0.7297305636214698,-0.2458419398728413,0
-0.8699321537383203,0.0528717075549031,0
-0.2758608533908395,0.0085309864556279,0
-0.9160993072313804,-0.1280563113616317,0
-1.121872607641832,-0.0450345881400729,0
